epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4999.41,0.99899,1.46035,1.28775,0.80661,0.69689,0.7755,0.46623,1.31525,1.42336,1.57755,0.000269953,0.000269953,0.000269953
43,5118.11,0.99585,1.42174,1.28247,0.75329,0.68026,0.74851,0.47142,1.30573,1.4767,1.58998,0.000268524,0.000268524,0.000268524
44,5236.23,0.97737,1.38169,1.27217,0.77328,0.67876,0.75799,0.47813,1.30702,1.38981,1.59623,0.000267065,0.000267065,0.000267065
45,5355.73,1.02898,1.43894,1.30443,0.74201,0.70984,0.76952,0.476,1.30717,1.47188,1.55308,0.000265577,0.000265577,0.000265577
46,5474.83,0.99749,1.41556,1.27814,0.78661,0.66062,0.75458,0.4655,1.29998,1.47957,1.55633,0.000264061,0.000264061,0.000264061
47,5592.61,0.99123,1.38938,1.27219,0.79574,0.70725,0.77373,0.47943,1.32835,1.43823,1.58744,0.000262517,0.000262517,0.000262517
48,5710.76,0.99431,1.39402,1.28214,0.75635,0.67553,0.746,0.45994,1.35139,1.47329,1.5731,0.000260945,0.000260945,0.000260945
49,5829.37,0.9794,1.36781,1.26316,0.81662,0.63212,0.75667,0.47184,1.30284,1.46152,1.55588,0.000259346,0.000259346,0.000259346
50,5947.49,0.974,1.34908,1.26352,0.7733,0.69171,0.76805,0.47833,1.31343,1.36578,1.57353,0.000257719,0.000257719,0.000257719
51,6065.57,0.97768,1.3454,1.25264,0.77972,0.6943,0.7718,0.47822,1.333,1.36525,1.57451,0.000256066,0.000256066,0.000256066
52,6184.57,0.98615,1.35766,1.25905,0.82913,0.67876,0.78159,0.47318,1.32899,1.39401,1.55079,0.000254387,0.000254387,0.000254387
53,6303.63,0.95483,1.31327,1.2455,0.81127,0.66321,0.75657,0.45677,1.33199,1.40924,1.58534,0.000252683,0.000252683,0.000252683
54,6422.44,0.9698,1.33676,1.25912,0.78858,0.67358,0.75775,0.46662,1.34353,1.44413,1.57242,0.000250952,0.000250952,0.000250952
55,6541.64,0.95166,1.35428,1.23961,0.78305,0.67876,0.75357,0.4629,1.32952,1.43065,1.60164,0.000249197,0.000249197,0.000249197
56,6660.38,0.96097,1.33431,1.24976,0.81462,0.67876,0.77483,0.47811,1.35474,1.42972,1.59895,0.000247418,0.000247418,0.000247418
57,6779.15,0.99556,1.35158,1.27393,0.8273,0.64249,0.76074,0.46013,1.35842,1.42119,1.60187,0.000245614,0.000245614,0.000245614
58,6897.35,0.96677,1.32016,1.25325,0.80085,0.698,0.78164,0.47022,1.36438,1.4002,1.59919,0.000243787,0.000243787,0.000243787
59,7015.76,0.94443,1.2948,1.23638,0.77497,0.68912,0.75339,0.46587,1.37425,1.44363,1.62096,0.000241937,0.000241937,0.000241937
60,7134.07,0.98431,1.29425,1.2567,0.77547,0.72021,0.77654,0.47267,1.34396,1.44862,1.60625,0.000240064,0.000240064,0.000240064
61,7252.6,0.95625,1.33832,1.25499,0.74519,0.70984,0.76632,0.46365,1.33097,1.44315,1.58442,0.000238168,0.000238168,0.000238168
62,7371.47,0.95322,1.29085,1.23968,0.76508,0.6943,0.77547,0.46824,1.3542,1.43374,1.60898,0.000236251,0.000236251,0.000236251
63,7491.04,0.94048,1.30323,1.2411,0.77789,0.68912,0.77009,0.47198,1.31172,1.44642,1.56232,0.000234313,0.000234313,0.000234313
64,7610.03,0.97,1.33541,1.2512,0.76338,0.70207,0.76836,0.47632,1.30809,1.45952,1.54703,0.000232354,0.000232354,0.000232354
65,7728.8,0.96426,1.29338,1.25171,0.79699,0.6658,0.75661,0.46362,1.34152,1.44803,1.58267,0.000230375,0.000230375,0.000230375
66,7847.09,0.94672,1.27539,1.23944,0.75828,0.70707,0.76621,0.46353,1.29405,1.42696,1.55874,0.000228376,0.000228376,0.000228376
67,7965.56,0.91042,1.23477,1.21979,0.83139,0.67876,0.76504,0.47088,1.2944,1.41412,1.55842,0.000226357,0.000226357,0.000226357
68,8084.14,0.94093,1.26229,1.22851,0.80475,0.69689,0.7696,0.45229,1.35891,1.41251,1.63681,0.00022432,0.00022432,0.00022432
69,8202.8,0.92852,1.24729,1.22758,0.83716,0.71244,0.78318,0.47423,1.33449,1.38235,1.60112,0.000222264,0.000222264,0.000222264
70,8321.72,0.92991,1.25639,1.22068,0.82308,0.687,0.78359,0.48222,1.33801,1.41641,1.60585,0.00022019,0.00022019,0.00022019
71,8441.1,0.91417,1.239,1.22306,0.82166,0.69171,0.7718,0.47932,1.31333,1.41567,1.57272,0.000218099,0.000218099,0.000218099
72,8560.16,0.91734,1.21467,1.2206,0.80263,0.70984,0.78266,0.47656,1.3336,1.40613,1.60118,0.000215992,0.000215992,0.000215992
73,8679.63,0.91136,1.22049,1.21608,0.80238,0.70466,0.76352,0.47348,1.33654,1.43403,1.61128,0.000213868,0.000213868,0.000213868
74,8798.24,0.91897,1.21815,1.21263,0.82476,0.67617,0.76241,0.45458,1.36609,1.42025,1.63864,0.000211728,0.000211728,0.000211728
75,8916.47,0.9256,1.21296,1.21754,0.78227,0.69809,0.76024,0.46465,1.33264,1.42034,1.57336,0.000209573,0.000209573,0.000209573
76,9034.91,0.91451,1.21476,1.21226,0.82532,0.68653,0.78153,0.4824,1.3395,1.40671,1.60635,0.000207403,0.000207403,0.000207403
77,9153.38,0.91571,1.24195,1.2165,0.73172,0.73316,0.76995,0.46798,1.32668,1.40125,1.59438,0.00020522,0.00020522,0.00020522
78,9272.27,0.91133,1.23898,1.21264,0.8411,0.62953,0.75506,0.46639,1.3111,1.51722,1.55058,0.000203022,0.000203022,0.000203022
79,9390.89,0.91187,1.17121,1.20879,0.72839,0.74093,0.77183,0.47948,1.33943,1.39267,1.61113,0.000200812,0.000200812,0.000200812
80,9509.08,0.88817,1.17045,1.18498,0.78773,0.6826,0.77347,0.48291,1.31221,1.48311,1.58352,0.000198589,0.000198589,0.000198589
81,9627.81,0.89939,1.1588,1.20144,0.8394,0.66839,0.77043,0.46988,1.36428,1.39608,1.65798,0.000196354,0.000196354,0.000196354
82,9746.25,0.89861,1.20903,1.21699,0.83338,0.68676,0.76893,0.46836,1.36882,1.41362,1.632,0.000194107,0.000194107,0.000194107
83,9864.9,0.8877,1.16981,1.20439,0.81569,0.68795,0.77042,0.46724,1.39097,1.39838,1.63666,0.00019185,0.00019185,0.00019185
84,9983.46,0.90879,1.19185,1.20291,0.81918,0.68912,0.78367,0.47247,1.37308,1.35617,1.63382,0.000189582,0.000189582,0.000189582
85,10102.6,0.88514,1.16329,1.19174,0.76452,0.71244,0.77709,0.47142,1.34188,1.40695,1.62401,0.000187305,0.000187305,0.000187305
86,10221.5,0.89927,1.15648,1.19334,0.80685,0.68394,0.77035,0.47339,1.34161,1.45557,1.62648,0.000185018,0.000185018,0.000185018
87,10340.4,0.8556,1.10257,1.1694,0.79686,0.6943,0.76901,0.47612,1.36526,1.41997,1.65458,0.000182723,0.000182723,0.000182723
88,10459.7,0.88626,1.16054,1.19229,0.80938,0.69302,0.77588,0.47507,1.36079,1.42119,1.64835,0.000180419,0.000180419,0.000180419
89,10578.9,0.89692,1.16775,1.20361,0.81994,0.69948,0.77719,0.48018,1.3458,1.42018,1.62746,0.000178108,0.000178108,0.000178108
90,10698.3,0.88283,1.14578,1.19251,0.81144,0.68653,0.75818,0.47822,1.32772,1.4473,1.61486,0.000175791,0.000175791,0.000175791
91,10817.3,0.87532,1.13908,1.18422,0.86465,0.68135,0.76904,0.47565,1.34203,1.44648,1.62988,0.000173466,0.000173466,0.000173466
92,10936,0.86223,1.11186,1.18234,0.82551,0.71085,0.77478,0.48247,1.32551,1.38789,1.63034,0.000171136,0.000171136,0.000171136
93,11054.4,0.88055,1.14299,1.19837,0.80014,0.70528,0.77985,0.47895,1.37222,1.37112,1.66006,0.000168801,0.000168801,0.000168801
94,11173.4,0.86979,1.10704,1.18421,0.83422,0.66321,0.76402,0.48365,1.34593,1.45366,1.62881,0.000166461,0.000166461,0.000166461
95,11292.1,0.87109,1.12438,1.1804,0.75225,0.72539,0.7595,0.46453,1.37252,1.38617,1.67601,0.000164118,0.000164118,0.000164118
